"Site","Region","Sample_ID","category","common_name","group","Group","d13C","d15N","ile_d13C","leu_d13C","val_d13C","phe_d13C","phe_d15N","lys_d15N","glu_d15N","glu_d13C","asp_d13C","ala_d13C"
"The Cairns","Orkney","CairnsA","human","human","Human","human",-18.8,13.3,-20.32,-28.19,-22.85,-25.75,9.71,3.7,18.35,-17.93,-20.96,-24.67
"The Cairns","Orkney","CairnsB","human","human","Human","human",-20.1,13,-21.49,-28.96,-25.64,-26.22,10.49,3,16.86,-17.92,-20.65,-23.9
